epoch,agent0_loss,agent1_loss
1,0.511075,0.441340
2,0.354818,0.295284
3,0.333184,0.280758
4,0.323582,0.274040
5,0.317697,0.269818
6,0.313123,0.266594
7,0.309768,0.264430
8,0.306830,0.262502
9,0.304585,0.261133
10,0.302570,0.259901
11,0.300960,0.259070
12,0.299428,0.258040
13,0.298223,0.257368
14,0.297184,0.256682
15,0.296063,0.256073
16,0.295179,0.255432
17,0.294285,0.255141
18,0.293503,0.254441
19,0.292955,0.254078
20,0.292228,0.253637
21,0.291630,0.253161
22,0.291129,0.252801
23,0.290600,0.252536
24,0.290062,0.252332
25,0.289713,0.252087
26,0.289114,0.251658
27,0.288724,0.251348
28,0.288286,0.251295
29,0.288040,0.250948
30,0.287662,0.250810
31,0.287528,0.250501
32,0.286977,0.250189
33,0.286848,0.250119
34,0.286404,0.249936
35,0.286086,0.249886
36,0.285711,0.249466
37,0.285422,0.249483
38,0.285354,0.249111
39,0.285021,0.249230
40,0.284944,0.248927
41,0.284586,0.248902
42,0.284328,0.248342
43,0.284094,0.248510
44,0.283818,0.248110
45,0.283686,0.248049
46,0.283546,0.247954
47,0.283429,0.247819
48,0.282967,0.247732
49,0.282833,0.247568
50,0.282788,0.247501
51,0.282474,0.247781
52,0.282411,0.247221
53,0.282210,0.247177
54,0.281983,0.247204
55,0.281915,0.246928
56,0.281630,0.246940
57,0.281744,0.246710
58,0.281434,0.246686
59,0.281312,0.246467
60,0.281120,0.246504
61,0.281038,0.246620
62,0.280853,0.246156
63,0.280765,0.246206
64,0.280663,0.246173
65,0.280445,0.246031
66,0.280442,0.246045
67,0.280208,0.245818
68,0.280182,0.245727
69,0.279978,0.245742
70,0.279933,0.245626
71,0.279802,0.245579
72,0.279639,0.245434
73,0.279453,0.245461
74,0.279516,0.245365
75,0.279325,0.245457
76,0.279416,0.245143
77,0.279110,0.245223
78,0.279027,0.245108
79,0.278850,0.245225
80,0.278958,0.244896
81,0.278815,0.244856
82,0.278690,0.244925
83,0.278580,0.244924
84,0.278546,0.244634
85,0.278468,0.244710
86,0.278377,0.244567
87,0.278126,0.244647
88,0.278240,0.244567
89,0.278085,0.244453
90,0.277987,0.244405
91,0.277838,0.244267
92,0.277942,0.244419
93,0.277790,0.244149
94,0.277693,0.244180
95,0.277655,0.244245
96,0.277686,0.244213
97,0.277568,0.244044
98,0.277462,0.244029
99,0.277492,0.244017
100,0.277349,0.243860
101,0.277457,0.244061
102,0.277240,0.243867
103,0.277188,0.243715
104,0.277252,0.243743
105,0.277172,0.243881
106,0.277048,0.243687
107,0.277054,0.243597
108,0.277055,0.243639
109,0.276888,0.243567
110,0.276914,0.243818
111,0.276701,0.243559
112,0.276751,0.243440
113,0.276772,0.243525
114,0.276755,0.243457
115,0.276528,0.243407
116,0.276688,0.243366
117,0.276480,0.243418
118,0.276524,0.243520
119,0.276528,0.243377
120,0.276458,0.243359
121,0.276511,0.243227
122,0.276372,0.243333
123,0.276283,0.243253
124,0.276327,0.243265
125,0.276329,0.243198
126,0.276452,0.243119
127,0.276344,0.243151
128,0.276351,0.243387
129,0.276195,0.243183
130,0.276221,0.243119
131,0.276238,0.243090
132,0.276185,0.243159
133,0.276159,0.243049
134,0.276204,0.243041
135,0.276265,0.243127
136,0.276170,0.243067
137,0.276180,0.243014
138,0.276133,0.242943
139,0.276102,0.243019
140,0.276118,0.242992
141,0.276061,0.243038
142,0.276078,0.242954
143,0.276095,0.243007
144,0.276127,0.243089
145,0.276115,0.242975
146,0.275992,0.243003
147,0.276030,0.242926
148,0.276089,0.242987
149,0.276015,0.242950
150,0.275988,0.242939
