epoch,agent0_loss,agent1_loss
1,0.505995,0.446483
2,0.352007,0.295841
3,0.331211,0.280834
4,0.321798,0.273759
5,0.315460,0.269270
6,0.311054,0.265761
7,0.307415,0.263138
8,0.304401,0.260930
9,0.301944,0.259227
10,0.299983,0.257891
11,0.298234,0.256780
12,0.296816,0.255810
13,0.295426,0.254782
14,0.294233,0.254161
15,0.293098,0.253356
16,0.292241,0.252801
17,0.291448,0.252349
18,0.290719,0.251643
19,0.289948,0.251264
20,0.289418,0.250818
21,0.288727,0.250415
22,0.288147,0.250094
23,0.287744,0.249673
24,0.287293,0.249467
25,0.286725,0.249097
26,0.286381,0.248769
27,0.285827,0.248631
28,0.285502,0.248258
29,0.285105,0.248182
30,0.284900,0.247975
31,0.284530,0.247506
32,0.284076,0.247373
33,0.283832,0.247167
34,0.283601,0.246962
35,0.283413,0.246728
36,0.282932,0.246582
37,0.282777,0.246365
38,0.282370,0.246197
39,0.282198,0.246103
40,0.281905,0.246063
41,0.281703,0.245784
42,0.281499,0.245632
43,0.281254,0.245430
44,0.280891,0.245358
45,0.280775,0.245266
46,0.280603,0.245121
47,0.280398,0.244941
48,0.280269,0.244856
49,0.280130,0.244706
50,0.279793,0.244574
51,0.279819,0.244343
52,0.279501,0.244333
53,0.279198,0.244199
54,0.279080,0.244320
55,0.279142,0.244014
56,0.278817,0.243844
57,0.278583,0.243989
58,0.278580,0.243778
59,0.278423,0.243611
60,0.278288,0.243585
61,0.278131,0.243555
62,0.277861,0.243337
63,0.277900,0.243522
64,0.277666,0.243169
65,0.277425,0.243005
66,0.277398,0.243223
67,0.277278,0.242891
68,0.277085,0.242859
69,0.277021,0.242800
70,0.276942,0.242655
71,0.276779,0.242621
72,0.276855,0.242714
73,0.276543,0.242575
74,0.276512,0.242439
75,0.276452,0.242468
76,0.276179,0.242266
77,0.276133,0.242196
78,0.276122,0.242128
79,0.276076,0.242066
80,0.275826,0.242060
81,0.275782,0.242064
82,0.275770,0.241787
83,0.275626,0.241846
84,0.275481,0.241830
85,0.275390,0.241727
86,0.275314,0.241680
87,0.275314,0.241670
88,0.275206,0.241516
89,0.275211,0.241487
90,0.275003,0.241496
91,0.274998,0.241413
92,0.274967,0.241379
93,0.274766,0.241523
94,0.274708,0.241227
95,0.274862,0.241166
96,0.274666,0.241109
97,0.274596,0.241186
98,0.274474,0.241127
99,0.274449,0.241057
100,0.274347,0.241016
101,0.274275,0.240939
102,0.274218,0.240897
103,0.274177,0.240977
104,0.274172,0.240786
105,0.274053,0.240770
106,0.273987,0.240732
107,0.273970,0.240813
108,0.273960,0.240678
109,0.273957,0.240587
110,0.273897,0.240675
111,0.273884,0.240580
112,0.273694,0.240660
113,0.273681,0.240623
114,0.273616,0.240514
115,0.273671,0.240409
116,0.273635,0.240324
117,0.273509,0.240398
118,0.273609,0.240383
119,0.273482,0.240377
120,0.273413,0.240322
121,0.273576,0.240275
122,0.273413,0.240363
123,0.273299,0.240376
124,0.273283,0.240186
125,0.273264,0.240312
126,0.273245,0.240139
127,0.273219,0.240149
128,0.273174,0.240184
129,0.273165,0.240161
130,0.273159,0.240168
131,0.273156,0.240071
132,0.273299,0.240149
133,0.273095,0.240027
134,0.273117,0.240098
135,0.273023,0.240095
136,0.273078,0.240067
137,0.273063,0.240067
138,0.272985,0.240118
139,0.272995,0.240063
140,0.273034,0.239981
141,0.272958,0.240010
142,0.273000,0.239994
143,0.272988,0.239934
144,0.272977,0.239980
145,0.272945,0.239995
146,0.272988,0.239988
147,0.272920,0.239919
148,0.272978,0.240037
149,0.272914,0.239947
150,0.272882,0.239949
