epoch,agent0_loss,agent1_loss
1,0.423149,0.365122
2,0.329080,0.278429
3,0.315978,0.269080
4,0.308606,0.263948
5,0.303402,0.260383
6,0.299533,0.257992
7,0.296510,0.255923
8,0.294155,0.254412
9,0.292327,0.253319
10,0.290673,0.252304
11,0.289288,0.251241
12,0.288218,0.250870
13,0.287141,0.249960
14,0.286180,0.249180
15,0.285427,0.248726
16,0.284516,0.248108
17,0.283806,0.247644
18,0.283195,0.247313
19,0.282943,0.246767
20,0.282120,0.246598
21,0.281630,0.246098
22,0.281272,0.245839
23,0.280585,0.245361
24,0.280186,0.245026
25,0.279677,0.244863
26,0.279398,0.244620
27,0.279096,0.244277
28,0.278582,0.244096
29,0.278250,0.243780
30,0.277870,0.243698
31,0.277593,0.243557
32,0.277290,0.243273
33,0.276993,0.243079
34,0.276508,0.242754
35,0.276182,0.242586
36,0.275948,0.242569
37,0.275814,0.242217
38,0.275632,0.242029
39,0.275308,0.241909
40,0.274848,0.241736
41,0.274715,0.241550
42,0.274376,0.241397
43,0.274480,0.241470
44,0.274075,0.241155
45,0.273887,0.240962
46,0.273570,0.240770
47,0.273277,0.240623
48,0.273195,0.240419
49,0.272841,0.240449
50,0.272656,0.240203
51,0.272593,0.240062
52,0.272382,0.240548
53,0.272212,0.239982
54,0.272076,0.240036
55,0.271839,0.239785
56,0.271655,0.239549
57,0.271454,0.239447
58,0.271388,0.239347
59,0.271150,0.239330
60,0.270954,0.239074
61,0.270905,0.238936
62,0.270919,0.238865
63,0.270485,0.238741
64,0.270384,0.238771
65,0.270074,0.238629
66,0.270032,0.238448
67,0.269902,0.238467
68,0.269660,0.238232
69,0.269567,0.238129
70,0.269495,0.238272
71,0.269346,0.237958
72,0.269183,0.238130
73,0.269137,0.237896
74,0.268969,0.237650
75,0.268762,0.237730
76,0.268675,0.237620
77,0.268604,0.237531
78,0.268517,0.237473
79,0.268397,0.237382
80,0.268173,0.237246
81,0.268095,0.237121
82,0.268021,0.236988
83,0.268091,0.236986
84,0.267788,0.237124
85,0.267644,0.236850
86,0.267406,0.236785
87,0.267403,0.236726
88,0.267321,0.236594
89,0.267225,0.236686
90,0.267163,0.236449
91,0.267068,0.236425
92,0.267044,0.236343
93,0.266906,0.236289
94,0.266765,0.236157
95,0.266590,0.236254
96,0.266544,0.236098
97,0.266497,0.235991
98,0.266391,0.236197
99,0.266222,0.236091
100,0.266195,0.235864
101,0.266203,0.235734
102,0.266046,0.235943
103,0.265981,0.235640
104,0.265970,0.235712
105,0.265939,0.235557
106,0.265729,0.235495
107,0.265803,0.235574
108,0.265567,0.235381
109,0.265580,0.235407
110,0.265611,0.235509
111,0.265486,0.235354
112,0.265351,0.235296
113,0.265311,0.235213
114,0.265247,0.235219
115,0.265122,0.235143
116,0.265191,0.235212
117,0.265098,0.235028
118,0.265099,0.235113
119,0.265023,0.234898
120,0.265055,0.235008
121,0.264805,0.234916
122,0.264865,0.234848
123,0.264734,0.234764
124,0.264801,0.234697
125,0.264698,0.234715
126,0.264692,0.234912
127,0.264584,0.234640
128,0.264579,0.234678
129,0.264564,0.234640
130,0.264502,0.234846
131,0.264548,0.234511
132,0.264451,0.234475
133,0.264415,0.234576
134,0.264446,0.234472
135,0.264468,0.234439
136,0.264319,0.234523
137,0.264286,0.234439
138,0.264321,0.234390
139,0.264336,0.234367
140,0.264212,0.234412
141,0.264196,0.234367
142,0.264298,0.234288
143,0.264212,0.234343
144,0.264304,0.234428
145,0.264213,0.234267
146,0.264154,0.234512
147,0.264162,0.234497
148,0.264290,0.234527
149,0.264088,0.234248
150,0.264224,0.234288
