epoch,agent0_loss,agent1_loss
1,0.468266,0.397659
2,0.342397,0.281842
3,0.321372,0.265508
4,0.312728,0.258714
5,0.307059,0.256300
6,0.303049,0.252350
7,0.300653,0.250678
8,0.297948,0.249719
9,0.295803,0.248146
10,0.295109,0.246966
11,0.293222,0.246643
12,0.292106,0.245539
13,0.290877,0.244893
14,0.289913,0.244158
15,0.288557,0.244200
16,0.288233,0.243595
17,0.287629,0.243522
18,0.286584,0.242248
19,0.286549,0.242224
20,0.285682,0.241561
21,0.285489,0.241464
22,0.284346,0.241009
23,0.283726,0.240841
24,0.283555,0.240625
25,0.282721,0.240602
26,0.282558,0.240104
27,0.282238,0.239579
28,0.282167,0.239384
29,0.281303,0.239027
30,0.281337,0.238924
31,0.281733,0.238698
32,0.280524,0.238950
33,0.279867,0.238168
34,0.279579,0.238326
35,0.279735,0.239106
36,0.278848,0.238233
37,0.278869,0.237906
38,0.278744,0.238400
39,0.279055,0.237643
40,0.278110,0.237109
41,0.277733,0.236885
42,0.277478,0.236718
43,0.277593,0.236439
44,0.276960,0.236451
45,0.276881,0.236454
46,0.276588,0.236211
47,0.276725,0.236234
48,0.276615,0.235875
49,0.276089,0.235810
50,0.275794,0.235320
51,0.275795,0.235451
52,0.276026,0.235617
53,0.275816,0.236517
54,0.275116,0.235395
55,0.274973,0.235156
56,0.274784,0.235531
57,0.274285,0.235146
58,0.274665,0.234972
59,0.274333,0.235253
60,0.274031,0.234857
61,0.274172,0.235284
62,0.273718,0.234274
63,0.273639,0.235256
64,0.273783,0.234805
65,0.273256,0.234997
66,0.273465,0.233596
67,0.273453,0.233927
68,0.272814,0.234178
69,0.272797,0.233185
70,0.272613,0.233248
71,0.272544,0.234396
72,0.272121,0.233618
73,0.272311,0.233015
74,0.271916,0.233152
75,0.271853,0.233732
76,0.272035,0.232999
77,0.271733,0.232796
78,0.271454,0.232909
79,0.271343,0.232433
80,0.271382,0.232590
81,0.271543,0.232551
82,0.271458,0.232557
83,0.271206,0.232208
84,0.271325,0.232625
85,0.270730,0.232155
86,0.271000,0.232084
87,0.270078,0.231932
88,0.270384,0.231650
89,0.270336,0.231974
90,0.270632,0.232057
91,0.270325,0.232010
92,0.269788,0.232214
93,0.269645,0.231766
94,0.269815,0.231571
95,0.269694,0.231873
96,0.269753,0.232230
97,0.269428,0.231332
98,0.268938,0.231339
99,0.269052,0.231479
100,0.269134,0.231052
101,0.269333,0.230942
102,0.268734,0.231211
103,0.269183,0.231397
104,0.269010,0.230787
105,0.269057,0.230993
106,0.268674,0.230750
107,0.268513,0.231171
108,0.268790,0.230595
109,0.268713,0.230689
110,0.268547,0.230857
111,0.268142,0.230445
112,0.268591,0.230317
113,0.268021,0.231285
114,0.267976,0.230225
115,0.268363,0.230389
116,0.268430,0.230490
117,0.268247,0.229932
118,0.267914,0.230144
119,0.267517,0.230176
120,0.267639,0.230127
121,0.267775,0.230469
122,0.267837,0.230552
123,0.267552,0.229949
124,0.267752,0.230511
125,0.267829,0.229950
126,0.267565,0.229704
127,0.267682,0.231391
128,0.267231,0.230295
129,0.267628,0.229902
130,0.267382,0.229451
131,0.267209,0.229485
132,0.267729,0.229798
133,0.267330,0.230109
134,0.267821,0.229769
135,0.267191,0.229654
136,0.267238,0.231535
137,0.267139,0.229678
138,0.267019,0.229721
139,0.267083,0.230424
140,0.267046,0.229382
141,0.267030,0.229581
142,0.267152,0.229680
143,0.266807,0.229678
144,0.267163,0.229268
145,0.267065,0.229523
146,0.266947,0.230124
147,0.266833,0.229553
148,0.267023,0.229411
149,0.266982,0.229471
150,0.267047,0.229476
