episode,policy,total_reward,steps,n_subgoals,full_success
0,mlp,0.0,800,0,0
1,mlp,0.0,800,0,0
2,mlp,0.0,800,0,0
3,mlp,0.0,800,0,0
4,mlp,0.0,800,0,0
5,mlp,0.0,800,0,0
6,mlp,0.0,800,0,0
7,mlp,0.0,800,0,0
8,mlp,0.0,800,0,0
9,mlp,0.0,800,0,0
10,mlp,0.0,800,0,0
11,mlp,0.0,800,0,0
12,mlp,0.0,800,0,0
13,mlp,0.0,800,0,0
14,mlp,0.0,800,0,0
15,mlp,0.0,800,0,0
16,mlp,0.0,800,0,0
17,mlp,0.0,800,0,0
18,mlp,0.0,800,0,0
19,mlp,0.0,800,0,0
20,mlp,0.0,800,0,0
21,mlp,0.0,800,0,0
22,mlp,0.0,800,0,0
23,mlp,0.0,800,0,0
24,mlp,0.0,800,0,0
25,mlp,0.0,800,0,0
26,mlp,0.0,800,0,0
27,mlp,0.0,800,0,0
28,mlp,0.0,800,0,0
29,mlp,0.0,800,0,0
30,mlp,0.0,800,0,0
31,mlp,0.0,800,0,0
32,mlp,0.0,800,0,0
33,mlp,0.0,800,0,0
34,mlp,0.0,800,0,0
35,mlp,0.0,800,0,0
36,mlp,0.0,800,0,0
37,mlp,0.0,800,0,0
38,mlp,0.0,800,0,0
39,mlp,0.0,800,0,0
40,mlp,0.0,800,0,0
41,mlp,0.0,800,0,0
42,mlp,0.0,800,0,0
43,mlp,0.0,800,0,0
44,mlp,0.0,800,0,0
45,mlp,0.0,800,0,0
46,mlp,0.0,800,0,0
47,mlp,0.0,800,0,0
48,mlp,0.0,800,0,0
49,mlp,0.0,800,0,0
0,diffusion,0.0,800,0,0
1,diffusion,0.0,800,0,0
2,diffusion,0.0,800,0,0
3,diffusion,0.0,800,0,0
4,diffusion,0.0,800,0,0
5,diffusion,0.0,800,0,0
6,diffusion,0.0,800,0,0
7,diffusion,0.0,800,0,0
8,diffusion,0.0,800,0,0
9,diffusion,0.0,800,0,0
10,diffusion,0.0,800,0,0
11,diffusion,0.0,800,0,0
12,diffusion,0.0,800,0,0
13,diffusion,0.0,800,0,0
14,diffusion,0.0,800,0,0
15,diffusion,0.0,800,0,0
16,diffusion,0.0,800,0,0
17,diffusion,0.0,800,0,0
18,diffusion,0.0,800,0,0
19,diffusion,0.0,800,0,0
20,diffusion,0.0,800,0,0
21,diffusion,0.0,800,0,0
22,diffusion,0.0,800,0,0
23,diffusion,0.0,800,0,0
24,diffusion,0.0,800,0,0
25,diffusion,0.0,800,0,0
26,diffusion,0.0,800,0,0
27,diffusion,0.0,800,0,0
28,diffusion,0.0,800,0,0
29,diffusion,0.0,800,0,0
30,diffusion,0.0,800,0,0
31,diffusion,0.0,800,0,0
32,diffusion,0.0,800,0,0
33,diffusion,0.0,800,0,0
34,diffusion,0.0,800,0,0
35,diffusion,0.0,800,0,0
36,diffusion,0.0,800,0,0
37,diffusion,0.0,800,0,0
38,diffusion,0.0,800,0,0
39,diffusion,0.0,800,0,0
40,diffusion,0.0,800,0,0
41,diffusion,0.0,800,0,0
42,diffusion,0.0,800,0,0
43,diffusion,0.0,800,0,0
44,diffusion,0.0,800,0,0
45,diffusion,0.0,800,0,0
46,diffusion,0.0,800,0,0
47,diffusion,0.0,800,0,0
48,diffusion,0.0,800,0,0
49,diffusion,0.0,800,0,0
