method,noise_std,mean_reward,success_rate,n_rollouts,seed,best_params
none(best),0.1,0.8800,0.8800,50,0,{}
ema(best),0.1,0.9600,0.9600,50,0,{'alpha': 0.2}
median(best),0.1,0.9400,0.9400,50,0,{'k': 5}
kalman(best),0.1,0.9200,0.9200,50,0,"{'Q': 0.01, 'R': 0.001}"
none(best),0.2,0.5400,0.5400,50,0,{}
ema(best),0.2,0.7000,0.7000,50,0,{'alpha': 0.6}
median(best),0.2,0.5600,0.5600,50,0,{'k': 5}
kalman(best),0.2,0.6600,0.6600,50,0,"{'Q': 0.001, 'R': 0.01}"
none(best),0.3,0.3000,0.3000,50,0,{}
ema(best),0.3,0.4000,0.4000,50,0,{'alpha': 0.2}
median(best),0.3,0.3800,0.3800,50,0,{'k': 3}
kalman(best),0.3,0.4200,0.4200,50,0,"{'Q': 0.01, 'R': 0.1}"
none(best),0.4,0.0800,0.0800,50,0,{}
ema(best),0.4,0.2800,0.2800,50,0,{'alpha': 0.2}
median(best),0.4,0.2000,0.2000,50,0,{'k': 3}
kalman(best),0.4,0.2000,0.2000,50,0,"{'Q': 0.0001, 'R': 0.001}"
none(best),0.5,0.0200,0.0200,50,0,{}
ema(best),0.5,0.1800,0.1800,50,0,{'alpha': 0.2}
median(best),0.5,0.1400,0.1400,50,0,{'k': 5}
kalman(best),0.5,0.1800,0.1800,50,0,"{'Q': 0.01, 'R': 0.1}"
none(best),0.6,0.0000,0.0000,50,0,{}
ema(best),0.6,0.1000,0.1000,50,0,{'alpha': 0.05}
median(best),0.6,0.0600,0.0600,50,0,{'k': 7}
kalman(best),0.6,0.1400,0.1400,50,0,"{'Q': 1e-05, 'R': 0.001}"
